left_tf	left_strand	right_tf	right_strand	raw_spearman	smoothed_spearman	left_peak_0based	right_peak_0based	peak_offset_bp
SP1 (MA0079.5)	F	PATZ1 (MA1961.2)	F	0.505214408492863	0.9684728126139153	262	110	-152
SP1 (MA0079.5)	R	PATZ1 (MA1961.2)	R	0.33934459781673976	0.9032892825226966	450	449	-1
KLF4 (MA0039.5)	R	SP1 (MA0079.5)	F	0.4322849401728889	0.8887952571421683	182	262	80
KLF4 (MA0039.5)	R	PATZ1 (MA1961.2)	F	0.3892515863553683	0.8721649176279678	182	110	-72
KLF4 (MA0039.5)	F	SP1 (MA0079.5)	R	0.45472085843536547	0.7890575482357668	450	450	0
KLF4 (MA0039.5)	F	PATZ1 (MA1961.2)	R	0.239408000568369	0.7302973547487369	450	449	-1
MYC (MA0147.4)	F	PATZ1 (MA1961.2)	R	0.2008505432471956	0.6219209200089321	131	449	318
MYC (MA0147.4)	F	SP1 (MA0079.5)	R	0.25683816153267824	0.590425627755293	131	450	319
MYC (MA0147.4)	R	SP1 (MA0079.5)	F	0.06885734875920865	0.5074736998548391	23	262	239
TP53 (MA0106.3)	R	TP73 (MA0861.2)	F	-0.025101191784226817	0.4817061446200206	254	636	382
MYC (MA0147.4)	R	PATZ1 (MA1961.2)	F	0.09906108280384335	0.4785824776806805	23	110	87
KLF4 (MA0039.5)	F	MYC (MA0147.4)	F	0.1077179313326393	0.4670977759791242	450	131	-319
TP63 (MA0525.2)	R	TP73 (MA0861.2)	R	-0.018979066532989804	0.45061613781970794	548	636	88
KLF4 (MA0039.5)	R	MYC (MA0147.4)	R	0.14280865173110652	0.42225188226962046	182	23	-159
TP63 (MA0525.2)	F	TP73 (MA0861.2)	F	-0.01629243855007466	0.4034227703708598	1032	636	-396
TP63 (MA0525.2)	F	TP73 (MA0861.2)	R	-0.017303192192136628	0.38162640738788184	1032	636	-396
SOX2 (MA0143.5)	F	TP63 (MA0525.2)	R	0.07372562548823554	0.3723889970646482	983	548	-435
BACH2 (MA1101.3)	R	TP63 (MA0525.2)	F	0.03448399448466307	0.32061413875558603	550	1032	482
TP53 (MA0106.3)	F	TP73 (MA0861.2)	F	-0.02618953634491212	0.3120747565395809	295	636	341
BACH2 (MA1101.3)	R	TP73 (MA0861.2)	F	-0.021933144432075675	0.3073368172672479	550	636	86
BACH2 (MA1101.3)	F	TP53 (MA0106.3)	F	-0.027813913713859127	0.28611971379997564	143	295	152
POU5F1 (MA1115.2)	F	TP63 (MA0525.2)	R	-0.007233839878033324	0.283098724254986	782	548	-234
BACH2 (MA1101.3)	F	TP63 (MA0525.2)	R	0.027802666563101427	0.27340436917012934	143	548	405
SOX2 (MA0143.5)	F	BACH2 (MA1101.3)	F	-0.013288956606751905	0.2564395735838305	983	143	-840
SOX2 (MA0143.5)	F	SP1 (MA0079.5)	R	-0.03770834669754898	0.24785174747967373	983	450	-533
BACH2 (MA1101.3)	F	TP73 (MA0861.2)	F	-0.021932844841662646	0.24338442853278763	143	636	493
SP1 (MA0079.5)	R	TP53 (MA0106.3)	F	0.14443512270128578	0.23871463821468164	450	295	-155
TP53 (MA0106.3)	F	TP73 (MA0861.2)	R	0.0039857749655839575	0.23690496000367645	295	636	341
KLF4 (MA0039.5)	F	TP53 (MA0106.3)	F	0.08086275677471333	0.23506203356198838	450	295	-155
POU5F1 (MA1115.2)	F	BACH2 (MA1101.3)	F	-0.008840650809682556	0.2285646514516409	782	143	-639
SP1 (MA0079.5)	R	BACH2 (MA1101.3)	F	0.028596144376918247	0.22412785889518097	450	143	-307
POU5F1 (MA1115.2)	F	TP73 (MA0861.2)	R	-0.00887853348255798	0.21902881013011888	782	636	-146
BACH2 (MA1101.3)	R	TP73 (MA0861.2)	R	-0.023293785082870798	0.21606683662509468	550	636	86
SOX2 (MA0143.5)	F	PATZ1 (MA1961.2)	R	0.054564313402662656	0.2152080861797818	983	449	-534
TP63 (MA0525.2)	R	TP73 (MA0861.2)	F	-0.017870417885494948	0.20907452444223706	548	636	88
TP53 (MA0106.3)	R	TP73 (MA0861.2)	R	0.007330733218966534	0.20461171803320685	254	636	382
KLF4 (MA0039.5)	R	BACH2 (MA1101.3)	R	-0.038309349757371346	0.20455296493950512	182	550	368
PATZ1 (MA1961.2)	R	TP53 (MA0106.3)	F	0.12384224368139408	0.20410848432042053	449	295	-154
BACH2 (MA1101.3)	F	PATZ1 (MA1961.2)	R	-0.04391020203347421	0.1934447976230807	143	449	306
KLF4 (MA0039.5)	F	TP73 (MA0861.2)	R	0.048022993494996266	0.19293952718728277	450	636	186
KLF4 (MA0039.5)	F	TP63 (MA0525.2)	R	0.023436349494668773	0.19277182426637926	450	548	98
BACH2 (MA1101.3)	F	TP73 (MA0861.2)	R	-0.02329346690712014	0.1882018371471352	143	636	493
POU5F1 (MA1115.2)	F	TP53 (MA0106.3)	F	-0.010601370019041458	0.18397260645611194	782	295	-487
KLF4 (MA0039.5)	R	TP63 (MA0525.2)	F	-0.04125328313023838	0.18099630309189715	182	1032	850
SOX2 (MA0143.5)	F	TP73 (MA0861.2)	R	-0.012577410619699761	0.17952535163038325	983	636	-347
POU5F1 (MA1115.2)	F	KLF4 (MA0039.5)	F	-0.01604598477550509	0.17544759351958117	782	450	-332
POU5F1 (MA1115.2)	F	BACH2 (MA1101.3)	R	-0.008840770544630883	0.171585565769719	782	550	-232
SOX2 (MA0143.5)	F	KLF4 (MA0039.5)	F	-0.024119633957135074	0.17057042863467684	983	450	-533
KLF4 (MA0039.5)	F	BACH2 (MA1101.3)	F	0.044414832083996575	0.16873742037837533	450	143	-307
BACH2 (MA1101.3)	R	TP53 (MA0106.3)	R	0.10707969960973898	0.15346762260632932	550	254	-296
TP53 (MA0106.3)	F	TP63 (MA0525.2)	R	0.21316126094803656	0.15317951093085086	295	548	253
SP1 (MA0079.5)	R	TP73 (MA0861.2)	R	0.11919712302104203	0.15140483230984805	450	636	186
TP53 (MA0106.3)	F	TP63 (MA0525.2)	F	0.19602213897397913	0.1430574382224849	295	1032	737
BACH2 (MA1101.3)	R	TP63 (MA0525.2)	R	0.026907136946542468	0.14048081334053225	550	548	-2
PATZ1 (MA1961.2)	R	TP73 (MA0861.2)	R	0.050920065078575244	0.1294902775560359	449	636	187
KLF4 (MA0039.5)	R	TP73 (MA0861.2)	F	-0.03435262863435612	0.12877135245780522	182	636	454
SP1 (MA0079.5)	R	TP63 (MA0525.2)	R	0.07738793605521956	0.12809493449211706	450	548	98
POU5F1 (MA1115.2)	R	BACH2 (MA1101.3)	F	-0.004414750049999153	0.12767942288768408	834	143	-691
SOX2 (MA0143.5)	F	BACH2 (MA1101.3)	R	-0.01328913658813188	0.12663657536689854	983	550	-433
TP53 (MA0106.3)	R	TP63 (MA0525.2)	F	0.15787980340234015	0.12362673949853105	254	1032	778
POU5F1 (MA1115.2)	R	TP63 (MA0525.2)	R	-0.0036123309078529347	0.11956427746119525	834	548	-286
TP53 (MA0106.3)	R	TP63 (MA0525.2)	R	0.30372828823253817	0.11515445453424641	254	548	294
MYC (MA0147.4)	F	TP73 (MA0861.2)	R	0.09043777444162843	0.11117007494350194	131	636	505
BACH2 (MA1101.3)	R	PATZ1 (MA1961.2)	F	0.055987174655282045	0.10648795067110946	550	110	-440
POU5F1 (MA1115.2)	R	TP73 (MA0861.2)	F	-0.004174665074462598	0.10490540459216784	834	636	-198
BACH2 (MA1101.3)	F	TP53 (MA0106.3)	R	0.0069927388742333455	0.0993270655513736	143	254	111
SOX2 (MA0143.5)	F	TP53 (MA0106.3)	F	0.04500338183987224	0.09832302003810685	983	295	-688
MYC (MA0147.4)	F	TP53 (MA0106.3)	F	-0.02190659781664801	0.09752918281698107	131	295	164
KLF4 (MA0039.5)	R	TP53 (MA0106.3)	R	0.029872748394481036	0.09506932198146405	182	254	72
SOX2 (MA0143.5)	F	MYC (MA0147.4)	F	0.10724825394665957	0.08860175679364306	983	131	-852
POU5F1 (MA1115.2)	R	TP63 (MA0525.2)	F	-0.003293357755584422	0.08573685097849687	834	1032	198
MYC (MA0147.4)	R	TP73 (MA0861.2)	F	0.024087100685785227	0.08362791384936222	23	636	613
SP1 (MA0079.5)	F	BACH2 (MA1101.3)	R	0.025168599697267206	0.08013373973571557	262	550	288
MYC (MA0147.4)	F	BACH2 (MA1101.3)	F	-0.011631977432379786	0.07905069227597346	131	143	12
PATZ1 (MA1961.2)	R	TP63 (MA0525.2)	R	0.07860311391756333	0.07689546563798995	449	548	99
SOX2 (MA0143.5)	R	BACH2 (MA1101.3)	F	-0.010836675052852731	0.07473779288499789	380	143	-237
SOX2 (MA0143.5)	F	TP63 (MA0525.2)	F	-0.00934268107137907	0.07444051665747846	983	1032	49
SOX2 (MA0143.5)	R	PATZ1 (MA1961.2)	R	0.07644444629606993	0.07169460991241071	380	449	69
BACH2 (MA1101.3)	F	TP63 (MA0525.2)	F	-0.017302959244949144	0.0684594046876422	143	1032	889
SP1 (MA0079.5)	F	TP53 (MA0106.3)	R	-0.040578447891046934	0.06527458282589053	262	254	-8
SOX2 (MA0143.5)	F	TP53 (MA0106.3)	R	-0.01439394284844346	0.05803707943861608	983	254	-729
PATZ1 (MA1961.2)	F	TP53 (MA0106.3)	R	0.02523393473060976	0.05697314225860008	110	254	144
SP1 (MA0079.5)	F	TP73 (MA0861.2)	F	-0.059285518809261896	0.05519829571453197	262	636	374
POU5F1 (MA1115.2)	F	SP1 (MA0079.5)	R	-0.025086055923136293	0.0549799791362778	782	450	-332
POU5F1 (MA1115.2)	F	TP53 (MA0106.3)	R	-0.010160814552763511	0.05446544739168327	782	254	-528
POU5F1 (MA1115.2)	F	TP73 (MA0861.2)	F	-0.008359919030984911	0.05366276226798697	782	636	-146
POU5F1 (MA1115.2)	R	TP73 (MA0861.2)	R	-0.0044336438552461475	0.05209388302115622	834	636	-198
SOX2 (MA0143.5)	R	TP63 (MA0525.2)	R	-0.008867125991458532	0.051952146276224166	380	548	168
POU5F1 (MA1115.2)	F	PATZ1 (MA1961.2)	R	-0.022734152952554258	0.049158787965077826	782	449	-333
POU5F1 (MA1115.2)	R	TP53 (MA0106.3)	R	-0.005073961419766505	0.041619880964008	834	254	-580
POU5F1 (MA1115.2)	F	MYC (MA0147.4)	F	-0.013795420520571994	0.03949888001918297	782	131	-651
SOX2 (MA0143.5)	R	TP63 (MA0525.2)	F	-0.008084148130014854	0.03719165445464327	380	1032	652
SP1 (MA0079.5)	F	TP63 (MA0525.2)	F	-0.01586713870968269	0.036412821413295125	262	1032	770
POU5F1 (MA1115.2)	R	BACH2 (MA1101.3)	R	-0.0044148098419624915	0.0308759311910303	834	550	-284
SOX2 (MA0143.5)	R	MYC (MA0147.4)	F	0.08754492783237063	0.030116873923812397	380	131	-249
SOX2 (MA0143.5)	R	KLF4 (MA0039.5)	F	-0.019668772891348083	0.028808828132324844	380	450	70
SOX2 (MA0143.5)	F	TP73 (MA0861.2)	F	-0.011842736709469082	0.02728818100077309	983	636	-347
PATZ1 (MA1961.2)	F	TP73 (MA0861.2)	F	-0.020968123961979907	0.01813953517625682	110	636	526
PATZ1 (MA1961.2)	F	TP63 (MA0525.2)	F	0.020311003381298105	0.014281708636836555	110	1032	922
POU5F1 (MA1115.2)	F	SOX2 (MA0143.5)	F	-0.005048377231928392	0.011800276575797292	782	983	201
POU5F1 (MA1115.2)	R	SOX2 (MA0143.5)	F	-0.0025210155303403243	0.010697196472906994	834	983	149
MYC (MA0147.4)	F	TP63 (MA0525.2)	R	-0.02969526984945821	-0.0008733244981381895	131	548	417
SOX2 (MA0143.5)	R	TP53 (MA0106.3)	F	-0.012994990935086704	-0.00395802483249964	380	295	-85
SOX2 (MA0143.5)	R	BACH2 (MA1101.3)	R	-0.010836821821315302	-0.007104797533165701	380	550	170
SOX2 (MA0143.5)	R	SP1 (MA0079.5)	R	-0.030749891197434234	-0.013058432819959213	380	450	70
POU5F1 (MA1115.2)	R	MYC (MA0147.4)	R	-0.0084111434733962	-0.016751743263276747	834	23	-811
MYC (MA0147.4)	R	TP53 (MA0106.3)	R	-0.0509322695689812	-0.021552174185381724	23	254	231
POU5F1 (MA1115.2)	R	MYC (MA0147.4)	F	-0.006889032072416547	-0.022410794710967095	834	131	-703
POU5F1 (MA1115.2)	F	TP63 (MA0525.2)	F	-0.006595083139583409	-0.028587403007578203	782	1032	250
MYC (MA0147.4)	R	TP63 (MA0525.2)	F	-0.0330586244390955	-0.03230524681744739	23	1032	1009
BACH2 (MA1101.3)	R	TP53 (MA0106.3)	F	0.003985775935348074	-0.040401233974497144	550	295	-255
SOX2 (MA0143.5)	R	TP73 (MA0861.2)	F	-0.010247441206897053	-0.045220453346776546	380	636	256
MYC (MA0147.4)	R	BACH2 (MA1101.3)	R	-0.04430495789162497	-0.045430740647851596	23	550	527
SP1 (MA0079.5)	R	TP53 (MA0106.3)	R	0.09224225430407659	-0.04656039744509522	450	254	-196
SOX2 (MA0143.5)	R	TP73 (MA0861.2)	R	-0.010883149648790426	-0.049432252522175445	380	636	256
POU5F1 (MA1115.2)	R	SOX2 (MA0143.5)	R	-0.0020558079182945023	-0.05524340857202899	834	380	-454
PATZ1 (MA1961.2)	R	TP53 (MA0106.3)	R	0.07955992249716591	-0.06048954120910004	449	254	-195
POU5F1 (MA1115.2)	R	TP53 (MA0106.3)	F	-0.0052939596716343705	-0.060750724348055125	834	295	-539
POU5F1 (MA1115.2)	R	KLF4 (MA0039.5)	R	-0.010494215272625715	-0.060852471729230063	834	182	-652
KLF4 (MA0039.5)	F	TP63 (MA0525.2)	F	0.00011896040483908727	-0.0760700820008339	450	1032	582
POU5F1 (MA1115.2)	R	PATZ1 (MA1961.2)	F	-0.016459565952487	-0.07963696402311911	834	110	-724
SOX2 (MA0143.5)	R	MYC (MA0147.4)	R	0.023051357992225158	-0.08471733609915952	380	23	-357
SOX2 (MA0143.5)	R	TP53 (MA0106.3)	R	-0.012454965044055456	-0.08851515129747893	380	254	-126
KLF4 (MA0039.5)	F	TP53 (MA0106.3)	R	0.04948197988011751	-0.09718115324971201	450	254	-196
POU5F1 (MA1115.2)	R	SP1 (MA0079.5)	F	-0.016832443913170347	-0.09986597700268207	834	262	-572
POU5F1 (MA1115.2)	F	SOX2 (MA0143.5)	R	-0.004116790937235926	-0.11408540957905623	782	380	-402
SOX2 (MA0143.5)	R	KLF4 (MA0039.5)	R	-0.025759509879361576	-0.11597812711976019	380	182	-198
PATZ1 (MA1961.2)	R	TP63 (MA0525.2)	F	-0.023201331280292874	-0.12521589730389943	449	1032	583
