query_id	rank	promoter_id	same_locus_overlap	aligned_query_bp	aligned_query_fraction	query_intervals_0based_half_open	best_identity_pct	best_bitscore	chromosome	tss_1based	strand	gene_ids	gene_names	transcript_ids
CD44_promoter_5cb11c3a8c991e5309b9_tp73_cutrun_supported	1	promoter_a2ef98d984c678924fb2	False	79	0.03589277601090413	4-83	82.278	77.0	10	80543244	-	ENSG00000226659	TSPAN14-AS1	ENST00000837327
CD44_promoter_5cb11c3a8c991e5309b9_tp73_cutrun_supported	2	promoter_cf5c12aa3cbc1168078d	False	71	0.03225806451612903	29-100	81.69	65.3	17	32438760	-	ENSG00000279762		ENST00000623710
CD44_promoter_5cb11c3a8c991e5309b9_tp73_cutrun_supported	3	promoter_f259ac7f402b3fdd8702	False	70	0.03180372557928214	31-101	81.429	63.5	7	28724300	+	ENSG00000146592	CREB5	ENST00000468813
CD44_promoter_5cb11c3a8c991e5309b9_tp73_cutrun_supported	4	promoter_bb4bf3b44d86dcf9bb2b	False	68	0.030895047705588367	33-101	80.882	61.7	16	6703883	+	ENSG00000278975		ENST00000623206
CD44_promoter_5cb11c3a8c991e5309b9_tp73_cutrun_supported	5	promoter_12f062e2b1bfa87bbfc9	False	66	0.029986369831894594	29-95	80.303	59.9	6	134296168	+	ENSG00000286887		ENST00000793391;ENST00000793394
SERPINE1_promoter_379bd0de7dda774c7927_tp73_cutrun_supported	1	promoter_340574e6898d04cf29c7	False	1041	0.4729668332576102	401-1143;1436-1735	86.469	454.0	15	90902695	+	ENSG00000196547	MAN2A2	ENST00000560451
SERPINE1_promoter_379bd0de7dda774c7927_tp73_cutrun_supported	2	promoter_376d5c0415e5aea2dd79	False	1041	0.4729668332576102	401-1143;1436-1735	86.469	454.0	15	90902624	+	ENSG00000196547	MAN2A2	ENST00001079021
SERPINE1_promoter_379bd0de7dda774c7927_tp73_cutrun_supported	3	promoter_4db25ba7a0bf26fa59cd	False	1041	0.4729668332576102	401-1143;1436-1735	86.469	454.0	15	90902218	+	ENSG00000196547	MAN2A2	ENST00000558290
SERPINE1_promoter_379bd0de7dda774c7927_tp73_cutrun_supported	4	promoter_9902e0ca914491d4ff99	False	1041	0.4729668332576102	401-1143;1436-1735	86.469	454.0	15	90902428	+	ENSG00000196547	MAN2A2	ENST00000560534
SERPINE1_promoter_379bd0de7dda774c7927_tp73_cutrun_supported	5	promoter_b9b162bad74e9b57831a	False	1041	0.4729668332576102	401-1143;1436-1735	86.469	454.0	15	90902377	+	ENSG00000196547	MAN2A2	ENST00000559999
SERPINE1_promoter_bd61be147c132c2eecfd_tp73_cutrun_supported	1	promoter_404cf1dc6550940a6ae5	False	867	0.3939118582462517	0-52;585-878;958-1480	94.231	492.0	6	110700562	+	ENSG00000217041		ENST00000406786
SERPINE1_promoter_bd61be147c132c2eecfd_tp73_cutrun_supported	2	promoter_e49510d75a59d6350407	False	850	0.3861880963198546	565-881;954-1488	82.474	541.0	8	19765610	+	ENSG00000300718		ENST00000773563
SERPINE1_promoter_bd61be147c132c2eecfd_tp73_cutrun_supported	3	promoter_dd7c636cbf3667419848	False	829	0.37664697864606994	590-892;961-1488	82.524	482.0	7	92203621	-	ENSG00000001631	KRIT1	ENST00000487168
SERPINE1_promoter_bd61be147c132c2eecfd_tp73_cutrun_supported	4	promoter_e2934f0fd6b9859bfe11	False	829	0.37664697864606994	590-892;961-1488	82.524	482.0	7	92204098	-	ENSG00000221520	MIR1285-1	ENST00000408593
SERPINE1_promoter_bd61be147c132c2eecfd_tp73_cutrun_supported	5	promoter_f8604f93e5b28e0681d6	False	818	0.3716492503407542	589-871;949-1485	83.023	492.0	2	175905502	-	ENSG00000229779		ENST00000458254
SERPINE1_promoter_f26b9f97102c9a4a9c88_tp73_cutrun_supported	1	promoter_e49510d75a59d6350407	False	850	0.3861880963198546	62-378;451-985	82.474	541.0	8	19765610	+	ENSG00000300718		ENST00000773563
SERPINE1_promoter_f26b9f97102c9a4a9c88_tp73_cutrun_supported	2	promoter_dd7c636cbf3667419848	False	829	0.37664697864606994	87-389;458-985	82.524	482.0	7	92203621	-	ENSG00000001631	KRIT1	ENST00000487168
SERPINE1_promoter_f26b9f97102c9a4a9c88_tp73_cutrun_supported	3	promoter_e2934f0fd6b9859bfe11	False	829	0.37664697864606994	87-389;458-985	82.524	482.0	7	92204098	-	ENSG00000221520	MIR1285-1	ENST00000408593
SERPINE1_promoter_f26b9f97102c9a4a9c88_tp73_cutrun_supported	4	promoter_f8604f93e5b28e0681d6	False	818	0.3716492503407542	86-368;446-982	83.023	492.0	2	175905502	-	ENSG00000229779		ENST00000458254
SERPINE1_promoter_f26b9f97102c9a4a9c88_tp73_cutrun_supported	5	promoter_404cf1dc6550940a6ae5	False	815	0.37028623353021356	82-375;455-977	83.557	492.0	6	110700562	+	ENSG00000217041		ENST00000406786
TGFB1_promoter_0c7303b1bf23e0934772_tp73_cutrun_supported	1	promoter_b76c3169643a324e1518	False	68	0.030895047705588367	6-74	80.882	65.3	3	134349233	-	ENSG00000260633		ENST00000568384
TGFB1_promoter_0c7303b1bf23e0934772_tp73_cutrun_supported	2	promoter_0236458aaee63ff0fb9c	False	45	0.02044525215810995	25-70	88.889	59.9	11	65134817	-	ENSG00000162298	SYVN1	ENST00000294256;ENST00000307289;ENST00000904692;ENST00000904693;ENST00000904694;ENST00000904695;ENST00000904696;ENST00000904697;ENST00000904699;ENST00000904700;ENST00000904701;ENST00000904702;ENST00000904703;ENST00000904705;ENST00000918753;ENST00000981156;ENST00000981157;ENST00000981158;ENST00000981159;ENST00000981160;ENST00000981173;ENST00000981174;ENST00001137932
TGFB1_promoter_0c7303b1bf23e0934772_tp73_cutrun_supported	3	promoter_1293a6cf009b7e9e2511	False	45	0.02044525215810995	25-70	88.889	59.9	11	65135747	-	ENSG00000162298	SYVN1	ENST00000904688
TGFB1_promoter_0c7303b1bf23e0934772_tp73_cutrun_supported	4	promoter_73130cecbf90ed1f05ab	False	45	0.02044525215810995	25-70	88.889	59.9	11	65134814	-	ENSG00000162298	SYVN1	ENST00000526060;ENST00000904689;ENST00000904690;ENST00000904691;ENST00000904698
TGFB1_promoter_36a1b28d8f28c83a9602_tp73_cutrun_supported	1	promoter_b76c3169643a324e1518	False	68	0.030895047705588367	45-113	80.882	65.3	3	134349233	-	ENSG00000260633		ENST00000568384
TGFB1_promoter_36a1b28d8f28c83a9602_tp73_cutrun_supported	2	promoter_f444d437055906bcdb73	False	68	0.030895047705588367	0-68	80.882	61.7	19	44726058	-	ENSG00000252200		ENST00000516391
TGFB1_promoter_36a1b28d8f28c83a9602_tp73_cutrun_supported	3	promoter_0236458aaee63ff0fb9c	False	45	0.02044525215810995	64-109	88.889	59.9	11	65134817	-	ENSG00000162298	SYVN1	ENST00000294256;ENST00000307289;ENST00000904692;ENST00000904693;ENST00000904694;ENST00000904695;ENST00000904696;ENST00000904697;ENST00000904699;ENST00000904700;ENST00000904701;ENST00000904702;ENST00000904703;ENST00000904705;ENST00000918753;ENST00000981156;ENST00000981157;ENST00000981158;ENST00000981159;ENST00000981160;ENST00000981173;ENST00000981174;ENST00001137932
TGFB1_promoter_36a1b28d8f28c83a9602_tp73_cutrun_supported	4	promoter_1293a6cf009b7e9e2511	False	45	0.02044525215810995	64-109	88.889	59.9	11	65135747	-	ENSG00000162298	SYVN1	ENST00000904688
TGFB1_promoter_36a1b28d8f28c83a9602_tp73_cutrun_supported	5	promoter_73130cecbf90ed1f05ab	False	45	0.02044525215810995	64-109	88.889	59.9	11	65134814	-	ENSG00000162298	SYVN1	ENST00000526060;ENST00000904689;ENST00000904690;ENST00000904691;ENST00000904698
