gene	tss_1based	transcript_ids	max_saos2_delta	max_skmel29_2_delta	other_promoter_windows_any	other_genes_any	other_transcripts_any	other_genes_25pct	other_genes_50pct	other_genes_80pct	target_cap_reached
CD44	35138721	ENST00000263398;ENST00000278386	-0.1190368014538846	0.6783280327124035	82	31	150	0	0	0	False
CD44	35139171	ENST00000428726	-0.14357110404361656	1.3012267151294865	0	0	0	0	0	0	False
SERPINE1	101122158	ENST00000950058	-0.07269422989550205	1.2289868241708315	169839	42502	300719	27563	0	0	False
SERPINE1	101126601	ENST00000870828	0.0009086778736937667	2.858700590640618	162245	40848	288282	55	0	0	False
SERPINE1	101127104	ENST00000223095	0.13948205361199453	3.077237619263971	155544	39506	277386	50	0	0	False
TGFB1	41353922	ENST00000221930	0.16992276238073603	0.9054975011358474	4	2	30	0	0	0	False
TGFB1	41353961	ENST00001090430;ENST00001114525	0.18491594729668334	0.8709677419354839	5	3	31	0	0	0	False
