gene	feature_id	rank	target_gene_names	target_gene_ids	target_transcript_ids	target_promoter_id	aligned_query_fraction	query_intervals_0based_half_open	best_identity_pct
CD44	ENSR11_9HXKD	1	MIR3201	ENSG00000266508	ENST00000578320	promoter_0298476a6be8689c3de5	0.10578842315369262	150-203	83.019
CD44	ENSR11_9HXKD	2	RSL24D1P9	ENSG00000265402	ENST00000578420	promoter_25422fe97178756b7ccd	0.07984031936127745	145-185	90.0
SERPINE1	ENSR00001588829	1	ZNF586	ENSG00000083828	ENST00000391702;ENST00000651718	promoter_2f32f4e3e22222bd9fd5	0.1865671641791045	2-102	84.466
SERPINE1	ENSR00001588829	2	ZNF586	ENSG00000083828	ENST00000396150;ENST00000598183;ENST00000598885;ENST00000599802;ENST00001093849;ENST00001106184;ENST00001121046;ENST00001128337;ENST00001128338;ENST00001128339;ENST00001135785	promoter_69105a5aa7bb9de4bd80	0.1865671641791045	2-102	84.466
SERPINE1	ENSR00001588829	3	ZNF586	ENSG00000083828	ENST00000396154	promoter_ce68dddb54280c7e89a7	0.1865671641791045	2-102	84.466
SERPINE1	ENSR00001588829	4		ENSG00000299444	ENST00000763588	promoter_b7a7682f9e7a0c71515b	0.17164179104477612	2-94	86.885
SERPINE1	ENSR00001588829	5		ENSG00000299444	ENST00000763587	promoter_be2671ccb046edd2352d	0.17164179104477612	2-94	86.885
SERPINE1	ENSR7_93H5NS	1	ZNF586	ENSG00000083828	ENST00000391702;ENST00000651718	promoter_2f32f4e3e22222bd9fd5	0.28901734104046245	2-102	84.466
SERPINE1	ENSR7_93H5NS	2	ZNF586	ENSG00000083828	ENST00000396150;ENST00000598183;ENST00000598885;ENST00000599802;ENST00001093849;ENST00001106184;ENST00001121046;ENST00001128337;ENST00001128338;ENST00001128339;ENST00001135785	promoter_69105a5aa7bb9de4bd80	0.28901734104046245	2-102	84.466
SERPINE1	ENSR7_93H5NS	3	ZNF586	ENSG00000083828	ENST00000396154	promoter_ce68dddb54280c7e89a7	0.28901734104046245	2-102	84.466
SERPINE1	ENSR7_93H5NS	4		ENSG00000299444	ENST00000763588	promoter_b7a7682f9e7a0c71515b	0.2658959537572254	2-94	86.885
SERPINE1	ENSR7_93H5NS	5		ENSG00000299444	ENST00000763587	promoter_be2671ccb046edd2352d	0.2658959537572254	2-94	86.885
SERPINE1	ENSR7_BQ3T2	1	SMIM32	ENSG00000271824	ENST00000607574	promoter_7a5fbdc26a89d5020294	0.21578947368421053	13-54	90.244
SERPINE1	ENSR7_BQ3T2	2	TRPC7-AS1	ENSG00000248211	ENST00000809905	promoter_88e9d8960509991ac10c	0.21578947368421053	13-54	90.244
SERPINE1	ENSR7_BQ3T2	3	TRPC7-AS1	ENSG00000248211	ENST00000809904	promoter_abe3c6dea13ca42cc88e	0.21578947368421053	13-54	90.244
SERPINE1	ENSR7_BQ3T2	4	TRPC7-AS1	ENSG00000248211	ENST00000809906	promoter_efbc7b550def52421c3b	0.21578947368421053	13-54	90.244
